,name,Title,comment,rating,ratin,,,,,,,,,,
13,nnk-3999015 April 2022,Dimaag shut ho gaya !,"Teaser & Trailer was nothing ! This movie is a pure master piece .. yash , baaba nailed it !!! My respect to Prashant for directing it in such next level way ... can't wait for chapter 3 !!!!",10-Oct,10,,,,,,,,,,
14,amrutpanchal29 April 2022,"Most Honest Review:: Over The Top, Over Dramatic and Overrated!!","KGF was the most awaited movie after the success of 1st chapter and the sequel is getting way better response. But when I compare to many other south action/drama flicks it is over the top in all areas. Acting is average, direction is avg, screenplay average and story is basically inspired by many other movies like Scarface, Agneepath etc etc. The only thing I liked about this movie is music and BGM. And for this only reason you can watch it in the cinema halls.",06-Oct,6,,,,,,,,,,
15,sac7727 April 2022,A 'mass' movie for low IQ people.,Warning: Spoilers,01-Oct,1,,,,,,,,,,
16,thujan28 April 2022,Lack of story and the whole movie felt like a BGM,"Loved Chapter 1 as it seemed different from a regular commercial masala movie and narrated by a third person view. However, chapter 2 seems to have over done it and fallen into the typical masala movie. Very poor editing, especially the car sequence. Sound mixing was very poorly done. I can safely say that once the hype is done people will realize how bad of a movie it was.",01-Oct,1,,,,,,,,,,
17,holla-6005414 April 2022,Brand KGF,"Violence violence violence .. Glorifying the violence is Not easy subject to deal with .. But prashanth neel succeeded it with ease. His elevations are none to nodbody in Indian film directors ... Have been watching his work since Ugram , KGF1 and now KGF2 .... You have got that art in making commercial movies , keep continuing and exploring it more and more ... Movie keeps you high throughout and you would feel movie got ended with blink of an eye ... You would want to watch it few more times so that you feel high for the day ... Sachin gowda , Ravi Basrur and 2 golds in our KFI and they proved it big time with KGF2.",10-Oct,10,,,,,,,,,,
18,YourBossHere-0018 April 2022,What's more overrated than this movie ? Nothing.,Warning: Spoilers,01-Oct,1,,,,,,,,,,
19,ajaykrcanara21 April 2022,Which Mother wants his child to be a Criminal,Once we lived in era of Mother India where mother killed her Son cuz he became Criminal..,01-Oct,1,,,,,,,,,,
20,rohitram-8170514 April 2022,Rocky Bhai rocked 🔥🔥🔥🔥🔥🔥,Movie is set to break all time indian records. The storyline is unpredictable and goosebumps throughout the movie. Full action on first half and the real story begins at second half .,10-Oct,10,,,,,,,,,,
21,Ketch_Rajath-1065614 April 2022,ALL TIME BLOCKBUSTER 💯💥🔥,#KGFChapter2 This movie has a hype which i have never seen for any Indian Movie. Chapter 1 had set huge expectations & Chapter 2 exceeds all that Expectations. Yash has nailed it with his performance 👏🔥.,09-Oct,9,,,,,,,,,,
23,saikatsamanta24 April 2022,A Sequel well made but Couldn't reach the Greatness of the First One,"The Most Anticipated Sequel after Bahubali delivers on a lot of fronts, but misses on a few too. The film starts right from where the first film ended, Rocky taking over KGF & all of his adversaries rushing in to claim their stakes. Instead of the relentless action in the first film, this time you get political & strategic plays, with both sides taking wins & losses. The dialogues are great once again, Performances from Yash, Sanjay Dutt & Raveena Tandon were superb. Great Cinematography & Music that evokes the emotions. The romantic angle is better in this one & the great emotional bond of Mother & Son is once again central to the plot. But there are big issues in screenplay & editing. Instead of the streamlined story of the first film, this one stretches in so many directions & it becomes really tough to keep up with it. A lot of scenes abruptly end & I expected the ending to be much more powerful. A great effort but ultimately falls short of expectations.",07-Oct,7,,,,,,,,,,
24,niroseshrestha30 April 2022,Worst South Sequel Ever!!!,"Illogical action scenes, weak story line repetatively dragged over and over again.",01-Oct,1,,,,,,,,,,
25,SoumikBanerjee2517 April 2022,"In terms of Pure Charisma, there's nobody like Yash, he is something else!","The people who fell in love with the first chapter, I can safely say that they are in for an absolute delight. It's bigger, better and more grand in the truest sense of the word! Prashant Neel knew what the fans wished for and he duly delivers. With electrifying Cinematography, phenomenal background score and a surplus of action set pieces, it's nothing but an Action Junky's dream come true.",08-Oct,8,,,,,,,,,,
26,yashrajpanda-9182514 April 2022,Awesome,It is one of the best movies and a history for indian cinemas.,10-Oct,10,,,,,,,,,,
27,max_11121 May 2022,Was expecting more,Warning: Spoilers,01-Oct,1,,,,,,,,,,
28,mandhirsingh29 May 2022,Very unrealistic and full of CG effects,Warning: Spoilers,01-Oct,1,,,,,,,,,,
29,saifur-rey3 June 2022,Overhyped movie,"Couldn't find any reason why there is a over 8 rating for this movie. Yash over acts with lots of cringe dialogues. There is just too many illiterates among the indian crowds who like this sort of movies without any good plot or acting, they just see the VFX and big budget movie think of it as something extra ordinary. Just felt like vomiting yuck.",01-Oct,1,,,,,,,,,,
30,tazulmasud3 June 2022,Cheap & tapory type content,Very cheap content.,01-Oct,1,,,,,,,,,,
31,rishusharma198118 April 2022,Headache,"Please bring at least two disprins with you coz one won't be enough to tolerate loudly and irritating background music,it's a highest over rated movie of all times.",04-Oct,4,,,,,,,,,,
32,ssscvrce19 April 2022,Overrated,"KGF 2 is overrated. Only Sanjay Dutt made it look like a real gangster movie, rest everything was in slow motion, too much heroic shots for the hero, the biggest drawback of South Indian movies. Also didn't connect with the hype that kgf has the deepest secret in chapter two.",07-Oct,7,,,,,,,,,,
33,nirajdangi28 May 2022,Waste of time...,Hero worship. That's all there is in it. There is a story for low IQ people who just like to watch hero kicking arse. Only adrenaline junkies would like this movie. Loud background music gave me a headache. It's not art. It's business that has profited by exploiting low IQ teenage emotions by showing romance and action. Most of the things were predictable in the movie ergo no mystery. If you don't watch hollywood movies then you may like it.,01-Oct,1,,,,,,,,,,
34,shamanthg24 May 2022,Not worth the hype at all,"One of the worst plot lines i have ever seen, Belive you me, I hadn't liked KGF1 at all and was waiting for KGF2 so that there would be some plot which would take the story to a closure but it all went downhill from 2nd half. KGF 1 was a 100 times better, and even KGF 1 was not at all good. So, you can only imagine the level of this movie.",01-Oct,1,,,,,,,,,,
35,sourrabhhh19 April 2022,Inappropriate,Warning: Spoilers,01-Oct,1,,,,,,,,,,
36,Umeshsonii18 April 2022,Chapter 1 was better! (Just my opinion),"Personally, I enjoyed chapter 1 more than this chapter, because of the suspense they created and the planning to kill garuda and the way the hero kills garuda alone. That's just entirely on a different level. Admiral was also a good villain but the fight was normal as we expect from south Indian cinema.",07-Oct,7,,,,,,,,,,
37,navneetmaheshwari14 April 2022,Supercalifragilisticexpialidocious,Only this word defines the movie.,10-Oct,10,,,,,,,,,,
38,karthickn-2673514 April 2022,This is the real......Beast...,"One of the best powerpack flim in Indian Cinema... Action sequence are best...The roll of Adeera,Remika sen...Please everybody go and watch the flim in theatre.... Enjoy the experience of the Gangster of Monster..",10-Oct,10,,,,,,,,,,
39,kstbhkakade19 April 2022,Average and overhyped movie,Average and overhyped due to being sequel.,01-Oct,1,,,,,,,,,,
40,anveshaws16 April 2022,"Director lost the story, Horrible editing and ear paining music",Warning: Spoilers,01-Oct,1,,,,,,,,,,
41,apamaljoeabraham21 June 2022,I feel so sad movies like this getting over 8 stars,"The sets, visuals, background score, some of th vfx, sound mixing etc is done well. Apart from that most of the scenes are childish (like the scene when hero brings a helicopter when the fan is not working). All the support actors are over acting. I mean if they are presenting the hero to be a superhuman, then it makes sense. I'm not going to talk about the dialogues...not worth mentioning. I hope Indian cinema will not be know only for these kind of movies. All the dialogues just serve one purpose that is to praise the hero of the movie.",05-Oct,5,,,,,,,,,,
42,atharvagosavi-4599814 April 2022,Salam Rocky Bhai... Ilaka Tera Bhai...,After surpassing all expectations I definitely tell you that this movie is Superb at mass level.. Top notch at performance and music department... Addictive at world building... Gut wrenching at action department and Kingmaker as a part 2.... Also don't miss the end.. Now tsunami will come again 🔥,09-Oct,9,,,,,,,,,,
43,pritishgoel17 April 2022,"Overacting, noisy, over stylish, no meaningful content",The movie is just a collection of overstylized VFX effects without any storyline or meaningful plot.,02-Oct,2,,,,,,,,,,
44,kuldeepraghuana23 April 2022,Sense less movie waste of time,Total sense less movie. Waste of time and money.totly over acting......... logic attempt suicide after this movie..................... totly waste of time ...,01-Oct,1,,,,,,,,,,
45,gchirag-0660526 April 2022,"Chapter -1, was far better.....","No proper story, unnecessary elevations, no bgm, no emotional connect, just an average one time watch not more, Chapter -1 was a very well made film but director failed to meet the hype and expectations this time, disappointed 👎",03-Oct,3,,,,,,,,,,
46,swatibcharan19 April 2022,Buildup for nothing.,The movie was entertaining but the story went downhill in comparison to chapter 1. There are easily avoidable plot holes. Even if we talk about the movie as an individual it still has a lot of mistakes. The action sequences were ridiculously long and poorly choreographed. The visual effects are extremely bad that movie from 2005 had better effects. Does not seem like a high budget movie and definitely not worth the hype it gets or a theatrical watch.,04-Oct,4,,,,,,,,,,
47,kranthireddyg14 April 2022,ROCKING STAR YASH ROCKS AGAIN!!!!!!!,"Flamboyant style and mesmerizing writing, outstanding costumes of yash which made audience spellbound with his character in chapter 1 are on a whole new level in this one.",10-Oct,10,,,,,,,,,,
48,manishkhanra7 May 2022,"In short, its a complete waste","This movie is just an over hyped movie by skewed audiences and marketing agency. Its a bad written story, dialogues and not only just that. The actions are extremely cringey. I wasted my valiable time.",01-Oct,1,,,,,,,,,,
49,lensofnutan13 June 2022,totally disappointed... nonsensical movie,"This is no movie ... this is around 3 hrs of trailer. No story only yash wwe entry , loud earbleeding bgm, overdramatic, illogical and childish editing like some tiktok guy had edited it. Every chitchat is shown like something dynamite lvl thing is going to happen with bgm but it just end with cut and again normal scene. 50% movie is just rocky praising and enrty scene walking and style 50% loud bgm and cringe dialogue.",02-Oct,2,,,,,,,,,,
50,winak7 May 2022,1 dimensional movie !!!,"Nearly 1/2 the movie is dedicated to building up this Rocky character. I bet Salman Khan must be scrambling to get a producer to make a movie on similar lines. It's the kind of ego massaging movies he relies on. Back to the movie. Unlike Bahubali I did not connect with this movie primarily because the Hindi dubbing and dialogues was of low quality. The sephia look made the movie drab. Sanjay Dutt borrowed his look from the Vikings tv series and had moments of Agneepath's Kancha Cheena in him. Raveena Tandon as PM was decent, I feel Vidya Balan would have been better. Yash in the main role, didn't have to over extend himself in the department of acting or expression cause all throughout it was the same with minute variations. Cockiness made relating with the character difficult. So if you an impressionable person this movie might appeal to your senses, as for me I dont understand what all the hullabaloo is about.",04-Oct,4,,,,,,,,,,
51,personalacc-8724714 April 2022,A TREAT!!,How did they made this masterpiece with 100 crores??,08-Oct,8,,,,,,,,,,
52,grarunkumar199414 April 2022,Rocky UNLEASHED,"KGF Chapter 2 is bigger, bolder, better and densely packed engaging screenplay and ofcourse dialogues that elevate emotions.",10-Oct,10,,,,,,,,,,
53,kushsolanki-613981 June 2022,Total senseless,"Such an illogical movie. I know that people watch movies for entertainment, but this crossed all the limits. Just all the slow mo shots of the actor, smoking all the time, it was more like showing off the actor for his style, nothing else in the movie.",01-Oct,1,,,,,,,,,,
54,manishkumar-8702614 April 2022,Just outstanding .....,Mindblownnnnn!!! What I saw on screen was the conviction and hardwork of the entire team that has worked with so much passion!! 👏🏻👏🏻👏🏻 Congrats on the well deserved humongous success.,10-Oct,10,,,,,,,,,,
55,syedkodi6 June 2022,Director lost the plot from KGF 1,Film logic.,01-Oct,1,,,,,,,,,,
56,rpant-106914 June 2022,"I am feeling sick to my stomach, knowing it has earned 1000 of crores! What a Shame on Indian Audience Taste & level of IQ","I mean , I am regretting wasting my time watching this hell.",01-Oct,1,,,,,,,,,,
57,udayshetty-8780014 April 2022,Just solid as gold,Story 9/10 Script 9.5/10 Screenplay 9.5/10 Direction 9.5/10 Cinematography 9.5/10 (Stunning)Visual effects 9.5/10 Music(bgm) 9.5/10 Action 9.5/10 Comedy 8.5/10 Acting 8/10..,10-Oct,10,,,,,,,,,,
58,sujanfaster15 April 2022,Kannada Cinema in all its Glory,"The ambition of the movie KGF is kind of like its lead character Rocky Bhai which is to conquer whatever is possible. Chapter 1 not only made sure Kannada movie industry on the map, but also led to the start of filmmakers taking pan India releases seriously. This was just because of the sheer quality of dubbing, right partnerships and promotion efforts while releasing in other languages. Finally, when KGF Chapter 2 is hitting the screens 3.5 years after its predecessor the cinema lovers across India also across some parts of the world have embraced it with love. KGF is complex and detailed filmmaking at its best for a gangster action drama. Director Prashant Neel's attention to detail is what makes it stand out from the rest of action/drama movies. With only 3 films under his belt in the last 8 years, it looks like he has already established his brand of filmmaking.",09-Oct,9,,,,,,,,,,
59,rajendrayadav_raj21 May 2022,Worst movie ever,"Time is precious, please don't waste it watching movie like this.",01-Oct,1,,,,,,,,,,
60,jaydeepmehta16 April 2022,Director is lost. Editing and sound is horrible,"Worst editing and sound job. It's a complete torture to eyes and ears. The scenes are abrupt with extra loud music. This is a good opportunity completely lost. Script could have been a bit better, and ending do not make any sense.",01-Oct,1,,,,,,,,,,
61,kamalbeeee27 April 2022,Great gangster movie of India..!,Rocky who had try to take control of all India especially KGF goldmine place.. But he had lot of enemy gangsters who were try to kill him.. And India government also against him but still he managed and conquer all of them and win those battles... Great dialogues and photography and screenplay..!,08-Oct,8,,,,,,,,,,
62,manicmod-8692529 April 2022,Hype up the hero formula,Hype up the hero with same old dialogues and action sequences.,04-Oct,4,,,,,,,,,,
63,ajaykrcanara21 April 2022,Better to watch Sunil Shetty Old Movies,"South cinema has produced gem like Drishyam, Bahubali, Magadhira but at the same time they are creating a mindset where people accepted that One Man can Dhissom 1 Million people and make them fly in air.",01-Oct,1,,,,,,,,,,
64,RameshJ8528 June 2022,"No logic, forceful character introduction",If you eat Biryani daily you will be bored same way every scene made for hero elevations. Can't digest. First one hour is forceful character introduction of new characters. Shots were fine but it's not perfect screenplay.,05-Oct,5,,,,,,,,,,
65,ksharath199916 June 2022,"Mass scenes, Mass scenes.. Mass scenes a bunch of mass scenes","KGF 2 starts off pretty good but later on its just more like a mashup of mass scenes. KGF 2 is blessed by a strong cast starting from Yash's Rocky which is the sole factor to watch the whole movie. His ravishing presence carries the whole movie upto an extent. Raveena Tandon is another factor to watch put for because her stern character was hell of a surprising delight. Coming to mass scenes, although most of them did not land well for me..Rocky's entry, return etc where top notch scenes which are not to be missed.",06-Oct,6,,,,,,,,,,
66,sumanthgenz28 April 2022,Grander but hollower than Chapter 1,"Huge fan of Chapter 1, which had much more direct plot and gave Rocky a good character arc, while still making him appear like a very cunning, gray character. Chapter 2 has a fast-paced screenplay too, but it collapses under the weight of all the characters and story that has to be packed in. Rocky doesn't have very much room to grow as a character and is overall just a vessel to deliver elevation scenes. However, in Chapter 2 the elevation scenes don't land nearly as well as the movie lacks the emotional depth of the first. When the screenplay is shifting from place to place quickly and rushing through plot points, there is not much room to setup stakes and emotional payoff, which is this film rings hollower than Chapter 1. Chapter 1's first half is basically how all of Chapter 2 plays out, except the novelty of style and new characters from Chapter 1 is gone since Chapter 2 is the sequel.",05-Oct,5,,,,,,,,,,
67,mane_mahesh5 June 2022,Really don't deserve rating 8>,"The first part was really good corresponding action, acting and overall story-building.",07-Oct,7,,,,,,,,,,
68,jaiganeshdakshinamurthy3 June 2022,highly hyped movie,"Watched in prime today and lost my 1/2 hr of life 😩, thank god remaining 2hrs was rescued by switching off my tv.",01-Oct,1,,,,,,,,,,
69,ridi-arahan18 April 2022,What does not kill you makes you a bigger achiever .,"What worked: One of the challenges while making the movie to make the viewers relate and convince them that the story is engaging. This movie is a winner for that matter. The movie is bigger, better and interesting, and even more engaging that the first chapter. The lead characters are commendable in their role. Sanjay Dhatt and Raveena were well introduced in their roles, added the needed spice and interest in the movie. It's amazing that a movie with this budget could hold the scale and execution in such a believable and engaging story. The narrative is well written , characters well acted, well edited, scored, mixed and produced. The movie with the budget could pull a production and execution makes a case study for the film makers as to how to execute and narrate the story. And for that matter director deserves the praise for keeping all the departments well balanced in their respective roles as a film makers. I am sure the film makers across are watching the movie with an awe and an opportunity to research how to make a movie with the scale, execution, acting and overall making of the movie. We have been hearing about a young and bright editor of the movie . I am sure everyone has an eye on him after this movie. The movie excites and eagers us for the next chapter of the great combo of Yash and Prashant's next venture, and we can say the movie is a benchmark and path breaker for the Indian movie industry to learn what can be achieved with the right vision and execution as the movie has rare dull moments but lots of punchlines and treats that keeps the jaws dropping for most parts of the movie What did not work: Very few scenes come to my head as what can and needs to be changed in this movie, making it better than the first chapter. Maybe the love song could have been shortened like other songs but hey who am I to say since the movie works overall for the most part which is quiet rare. So, even with plot holes, if any, movie works big time for the viewers to enjoy the ride.",09-Oct,9,,,,,,,,,,
70,IPyaarCinema15 April 2022,Rushed But Entertaining,Warning: Spoilers,06-Oct,6,,,,,,,,,,
71,ravindradv23 April 2022,Story is mixture of 80s,Same like KGF 1 .... Actor Yash Styling is top notch... His look & dailougue delivery is 10/10,02-Oct,2,,,,,,,,,,
72,pathakadi-8798514 April 2022,If you love action and enjoy entertainment this is the go to movie,The most action packed and intense movie i have seen till now in history of Indian cinema this thing was literally nuts The storyline the sound the cinematography,10-Oct,10,,,,,,,,,,
73,tkmce200818 April 2022,A massive improvement over it's predecessor but still jarring & loud,"My ears are still ringing after sitting through 168 minutes of extremely loud & jarring background score. But I must admit the sequel to the ultra-stylish KGF is far better than its predecessor. And we all how bad sequels usually turn out to be. To be honest, I didn't like the first movie even one bit. But Chapter 2, I didn't mind sitting through.",06-Oct,6,,,,,,,,,,
74,yuvrajsinghbhadouria-2320714 April 2022,Best of best,The movie is best you should watch the movie I actually love the movie please go for it you will find crazy action and balance emotion in it it is the history present and future of Indian cinema so let's see your future.,10-Oct,10,,,,,,,,,,
75,l-8079016 April 2022,"Definitely over the top, but can be excused!",HONEST REVIEW FROM A NOT A FAN OF YASH!,08-Oct,8,,,,,,,,,,
76,abhishekshatry15 April 2022,Blockbuster In Capital Letters,#OneWordReview... #KGF2: BLOCKBUSTER.,10-Oct,10,,,,,,,,,,
77,Couziambatman14 April 2022,Goosebumps.!,"First of all its never easy to make a sequel to a movie that too which had such a hybe behind it, but the director have done it with style . Havnt seen a movie which gave goosebumps from the start till end like this after KGF part 1 ironically. Its all style over substance but it aint bad at what it does. Have some minor set backs which can be easily ignored when looked at the bigger picture.",09-Oct,9,,,,,,,,,,
78,rahman_moshiur_bd23 June 2022,One of the worst film in the history of movies ...,Warning: Spoilers,01-Oct,1,,,,,,,,,,
79,vishalnhce19 April 2022,OVER THE TOP ACTION. TOO LOUD!,"It's over the top action and just tired of one man show. Too much overacting by background actors. VFX is good for that budget though. Too loud, and now even south movies feel like they have the same pattern. Overall did not like it.",06-Oct,6,,,,,,,,,,
80,sujesharadhya14 April 2022,Am Proud but deaf too...!,I was proud that the movie has reached this much audience and the KFI name is glorifying.,08-Oct,8,,,,,,,,,,
81,dakshjay16 April 2022,Walked out of a theater after many years,Warning: Spoilers,01-Oct,1,,,,,,,,,,
82,witra_as16 April 2022,Slightly better chapter,Slightly better because we barely had time to observe its sense and logic. Prashanth Neel upped the ante by expanding in many ways especially plotwise and action sequences. Yash's unapologetic gangster approach might trigger goosebumps in responsive audience.,07-Oct,7,,,,,,,,,,
83,sdrose-4199417 April 2022,A FILM THAT SHOULD REPRESENT INDIAN CINEMA,"This movie should represent indian cinema's capabilities and not those garbage Bollywood starkids movies filled with Nepotism, Poor Acting and Garbage story.",10-Oct,10,,,,,,,,,,
84,rezo-8716 April 2022,Horrible,"I have never been so tortured in my life. This wasnt a movie..it felt like it was a trailer, cut scenes with extreme lound music and soundtrack in background..with no moment to rest your ears..by end of the movie i was gona throw up..Avoid bt all cost.",01-Oct,1,,,,,,,,,,
85,dhanushdhama14 April 2022,Heroism Redefined- Indian Cinema,Prashanth Neel is the great director who creates Great Elevation and Action sequences.,10-Oct,10,,,,,,,,,,
86,sanket-6561014 April 2022,Incredible...,Great movie. Yash & Sanjay Dutt done a great job. Movie meets the expectations...must watch...This is better than first chapter. Background music bgm. I highly recommend. Hope it will break many records.,10-Oct,10,,,,,,,,,,
87,damodarmishradm15 April 2022,Kuch bhi? ..kyu ? in logo ke rating pr beleive mt kro,Kuch bhi? ..kyu ?,02-Oct,2,,,,,,,,,,
88,kirankumarfrank14 April 2022,160 minutes of Class!,"Rocky Bhai does it again. Adrenaline rush and goosebumps through out the movie. All the costumes we so good. Wish all the suits that rocky wore fit perfectly someday on me too ;). Sanjay dutt did a commendable job and they embraced the Vikings reference! Production design is out of this world and can be compared to few of the Hollywood movies. Cinematography by Bhuvan Gowda is also very good! BGM is always in perfect sync! The romance angle was bit forced, cringy and sometimes it crosses the line (the entertainment dialogue, the only dialogue which didn't get any whistle from the audience!). But speaking of entertainment, if you want a entertaining movie packed with well choreographed action, go watch it on theater soon and don't wait for OTT release.",09-Oct,9,,,,,,,,,,
89,kittyk-9258729 April 2022,Gave me headache,"Saw this in the theatre in the morning, when I came home, by the evening I started getting a terrible headache. In the end I had to take a saridon. It was my fault for going in without realising that it contains violence and gore. My companions said that pt.1 was much better as it had a lot of conspiracy & everything going on.",01-Oct,1,,,,,,,,,,
90,shubhamshihara14 April 2022,ROCKYBUSTER,Movie is vibrant my hands were shaking bcz of overwhelming experience of KGF. THRILLING Screenplay in start music was too loud .bgm is too good . KGF defines how one Men army movies should be made .Bollywoods movies like dabang singham are too pale infront of KGF . Awesome movies .cinema at its best.,10-Oct,10,,,,,,,,,,
91,dhavalpithwa24 April 2022,KGF CHAPTER 2 ( HINDI ),Mind Blowing Movie Hindi Audience Don't Regret It Watch Movie,10-Oct,10,,,,,,,,,,
92,gulamfarid2214 April 2022,WHAT A MOVIE 10/10,"Only Yash show love u brother and all cast Of the movie Sanjay dutt and shrinidhi looking very beautiful raveena all characters was very good action, thrill , and atitude, anger are fabulous and last one it's BGM music was amazing must watch movie....",10-Oct,10,,,,,,,,,,
93,harishnj14 April 2022,Rocky's world of KGF,"KGF Chapter 2 had connected well to where its predecessor left off. The world of KGF in the film was brilliant, stunning and epic. The background score was terrific through out the film. The direction and screenplay at its best. And the amount of hard work done on each and every frame is clearly visible.",10-Oct,10,,,,,,,,,,
94,ksiraj-6183314 April 2022,this movie got blockbuster before release but we can see more over acting and same old indian film action scene,"Overall this movie is good and it deserves 7/10good ratings in IMDB and Google users, but to be honest 1st part was much better than this because yash acting was incredible and his appearance is something unexpected to his fan, they all liked his work but in this movie we can see more over acting but some critics says this movie is masterpiece but actually it's not at all same like old bollywood and south movie cars and bikes are flying more violence less romance more of over acting people may like sequences but they didn't find logic i was shocked but in indian movie it's all common yash is superstar no doubt his fan following is amazingthis movie is way better than RRR and pushpa the rise but we can see some more over acting and action like we have seen in other south movie as i mentioned vehicles are flying machine missile this very unrealistic nothing logic but in indian movie we can expect a hero is stronger than marvel and dc characters.",06-Oct,6,,,,,,,,,,
95,contashish16 April 2022,Don't waste time and money,"This is no movie, entire movie will feel like you just watching almost 3 hrs long trailer full with background music and noise. Don't go with high expectations if at all you still what to watch this or wait 8 weeks to watch it on OTT.",01-Oct,1,,,,,,,,,,
96,shivamgupta52215 April 2022,Too repetitive and Noisy - overall Quite disappointing,The movie is all about swag. Very bad editing. Scenes are too repititive. Background Music is too loud and irritates. All the actors performed well especially Yash. Not recommended 👎,03-Oct,3,,,,,,,,,,
97,shu-0469921 April 2022,What did i just saw,Its a compilation of slow mos... even if you sleep during the movie u won't miss little bit of story Music is bad.. if they had just played n na nena re for whole movie it would have been better Why so lengthy!,05-Oct,5,,,,,,,,,,
98,narisetipraneeth14 April 2022,The legacy of Rocky,11:42am 14-04-2022.,10-Oct,10,,,,,,,,,,
99,jangidvishnu-0789120 April 2022,Without good writing everything is waste,"No story, average dialogue, weak direction, boring writing, baseless hipe, and properly wasted actors, Yash doing only slow motion walks, raveena Tandon role is like a dummy, cinematography is good but without story it's not catch out eyeballs, please don't make part 3 it's an request.",01-Oct,1,,,,,,,,,,
100,meetjoy2 May 2022,Very badly overrated 0 acting skill movie.,And the award goes to Yash's hairstylist and wardrobe professional as in the entire movie he keeps flaunting his hair and suit. There is no acting or action what so ever. There was no context to why everybody was worshipping him although all were staying as labourers working day in and out and he kept staying in huge palace. Poor storyline and acting coupled with very loud and noisy background music makes it one of the worst movie. The action sequence has nothing to boast of. Watch it at your own risk.,01-Oct,1,,,,,,,,,,
101,sameergheewala17 April 2022,over the top - ear blasting,"Whilst the frames are beautiful and CGI impressive, over the top drama, blaring background music and too stylish but zero on substance tale - over hyped and probably a sign of current times in india result in it being hailed as a cult. A blockbuster for sure but a leave ur brain at home poor cinema at best.",01-Oct,1,,,,,,,,,,
